timestamp,label,FC3,C3,CP3,Cz,FCz,FC4,C4,CP4
2025-12-12 20:47:07.899293,Right,1980.8509622917693,2174.220786855149,2212.150696868485,2059.7721407705635,1661.8445197044941,1661.9699537326067,2014.830196832617,2314.379847519487
2025-12-12 20:47:07.916411,Right,10666.565269443296,11707.415922381573,11911.022577053074,11091.045500846212,8950.211495809672,8948.113710908223,10847.998370189895,12462.4030609863
2025-12-12 20:47:07.919364,Right,24436.840319058952,26819.83391614164,27283.832310141235,25407.35065185741,20505.444366665924,20495.444490459613,24846.985561769896,28549.941057257623
2025-12-12 20:47:07.923473,Right,30560.13077083505,33536.31753545568,34110.48796271328,31768.967684159463,25630.505601207093,25622.2170928049,31060.61461027348,35699.189502833506
2025-12-12 20:47:07.927472,Right,20729.88144559943,22740.597147237604,23118.11852520924,21540.712608647387,17336.967757638668,17366.952446255513,21046.97979228651,24202.631859930247
2025-12-12 20:47:07.930464,Right,2462.2274465668306,2684.324733923946,2705.863174446742,2541.7363349944644,1956.154778243901,2039.9641772635805,2457.434004627037,2845.163539897476
2025-12-12 20:47:07.934454,Right,-11293.650872096128,-12417.370201204234,-12661.830065262155,-11761.830946165544,-9587.605142364948,-9500.672106382408,-11537.905681957986,-13233.672379394295
2025-12-12 20:47:07.938470,Right,-14783.413641794992,-16246.089549367782,-16556.13464665244,-15387.612126426247,-12463.050212746806,-12430.699129201414,-15086.094731705496,-17304.36087003263
2025-12-12 20:47:07.942430,Right,-10584.66365374974,-11631.48378547543,-11856.477318914898,-11017.611838128942,-8902.943096847623,-8906.294071573997,-10806.188985184068,-12386.177382104332
2025-12-12 20:47:07.946503,Right,-4545.290019214619,-4997.481185712386,-5101.537004410464,-4734.694953191269,-3849.885108691,-3831.265451384359,-4651.286417668103,-5324.417161932273
2025-12-12 20:47:07.950573,Right,-1244.401713456784,-1374.4173370180652,-1412.5201700842008,-1301.8564713723026,-1097.3812606604188,-1056.3859936728259,-1289.7185459774337,-1470.074100992526
2025-12-12 20:47:07.955577,Right,-1937.6781130427262,-2138.1375474542147,-2188.6980033169966,-2024.0210349285044,-1659.8950286043691,-1640.6101438813494,-1999.2932649831055,-2281.0936206275364
2025-12-12 20:47:07.958573,Right,-4696.277845697827,-5166.497393161408,-5267.838312757667,-4893.151476241997,-3955.4680629263166,-3957.5880510391435,-4807.265778435511,-5500.918492094614
2025-12-12 20:47:07.962564,Right,-6449.467754138983,-7088.760053448379,-7220.189832486445,-6715.258792756707,-5441.9565112906275,-5423.951679272461,-6585.854597877944,-7547.606112891226
2025-12-12 20:47:07.966569,Right,-5731.320521507296,-6299.289723477792,-6415.055075100157,-5967.459118051105,-4852.7616548775695,-4816.458546016365,-5852.206809090683,-6710.148800426745
2025-12-12 20:47:07.970585,Right,-3759.0553018032806,-4134.68799989589,-4213.152116108919,-3916.610710385954,-3172.6052654163213,-3163.7061327917036,-3848.995987672475,-4405.360328977695
2025-12-12 20:47:07.974589,Right,-2740.4239527046448,-3015.892296576174,-3074.8693711005617,-2857.5378403703216,-2291.5349713327596,-2311.6629376666388,-2814.1991046040785,-3211.8766224271385
2025-12-12 20:47:07.978627,Right,-3346.2705066354247,-3679.287364136777,-3747.9399147895165,-3486.8849820728647,-2816.6661184994737,-2814.8080229422776,-3424.895830049645,-3919.807227542158
2025-12-12 20:47:07.983602,Right,-4249.672217557323,-4670.711393304984,-4754.808522843872,-4425.69206025661,-3600.2636396081652,-3565.5893777910387,-4338.518967361655,-4979.691623211838
2025-12-12 20:47:07.986650,Right,-4047.1673585135723,-4449.050278072595,-4528.727954463568,-4215.528028488159,-3411.8874529550085,-3396.5998147290666,-4133.819522706326,-4743.487812430481
2025-12-12 20:47:07.990628,Right,-2989.2442818387644,-3285.977049496956,-3344.2135263748933,-3115.96510260331,-2488.508886284777,-2514.444281993434,-3059.4912293974776,-3500.3751816587755
2025-12-12 20:47:07.994680,Right,-2420.862877048552,-2657.9697020925814,-2702.2672800250584,-2524.143244110397,-2018.400294562336,-2036.854273591307,-2476.6320913297823,-2829.9794371838216
2025-12-12 20:47:07.998694,Right,-2891.7605720289284,-3172.6499750481453,-3223.169844671269,-3012.007057968527,-2446.80151496653,-2426.242451101425,-2949.5368340279674,-3380.9149997724453
2025-12-12 20:47:08.002676,Right,-3492.8984158218373,-3833.4880019181874,-3894.6699769810075,-3635.4213131677825,-2948.0770660615526,-2929.8586709494703,-3560.8259934949456,-4085.0070383747807
2025-12-12 20:47:08.006693,Right,-3180.7574166295817,-3491.205126379966,-3545.6281460529426,-3309.241328839329,-2651.2832829894032,-2671.920576327713,-3244.514470427297,-3716.1468269383768
2025-12-12 20:47:08.011694,Right,-2203.9213139472995,-2416.3781262994744,-2449.592046228703,-2291.6329930137144,-1827.0847483959515,-1851.3097872340586,-2245.92175181699,-2569.9846997994464
2025-12-12 20:47:08.014696,Right,-1721.031117679784,-1883.7191530057462,-1905.4537769140443,-1788.4199309488758,-1452.5054119447013,-1439.8869495919207,-1748.1776375696063,-2008.1179037985858
2025-12-12 20:47:08.018725,Right,-2195.839110329631,-2404.6465484366054,-2435.810337751871,-2282.6362627259223,-1856.8839133485453,-1836.9082561588148,-2231.810149164754,-2568.2635918204905
2025-12-12 20:47:08.022718,Right,-2781.5068648352753,-3047.168621919933,-3090.5388520982815,-2892.240249198978,-2316.4035296400543,-2333.456038956763,-2831.641406396171,-3251.8501835311763
2025-12-12 20:47:08.026679,Right,-2507.951879305532,-2744.1288855588064,-2780.7267164778896,-2606.591805757489,-2073.3027284105774,-2105.3928530487465,-2550.4578197337687,-2926.885979867424
2025-12-12 20:47:08.030739,Right,-1607.8729195762426,-1753.442853233195,-1769.7250461744843,-1668.3840962487739,-1343.3891281617107,-1344.6291314916452,-1626.270488615497,-1873.287925753044
2025-12-12 20:47:08.034747,Right,-1161.6101910434663,-1263.862387839239,-1270.3434928576462,-1203.3290845026495,-981.7240251329495,-967.167158122058,-1168.5317940186942,-1352.886418324546
2025-12-12 20:47:08.038787,Right,-1593.7168198132422,-1739.341737570474,-1754.803682040074,-1653.193061708589,-1318.78821006394,-1333.8588301577838,-1610.1586911362829,-1854.8056703512557
2025-12-12 20:47:08.041777,Right,-2123.278679432231,-2319.4170319772093,-2345.119528639014,-2204.065032676561,-1746.1502601867542,-1780.4631978690159,-2147.6169130866183,-2467.4416005122475
2025-12-12 20:47:08.045790,Right,-1886.5545706525445,-2057.4495156347984,-2077.810464150505,-1957.1744808728108,-1568.3556788874557,-1576.2242769476725,-1900.6085186741548,-2189.146870940225
2025-12-12 20:47:08.050808,Right,-1112.3896686030785,-1207.9192912898725,-1213.7414035518887,-1152.00726929761,-934.0371250504395,-921.4035477534635,-1110.6832845769823,-1287.4699646792142
2025-12-12 20:47:08.054802,Right,-738.0940248733386,-798.4945492508123,-798.4565901730675,-763.818445673096,-596.7911438283045,-610.070002396591,-733.7316607635003,-849.9598347807769
2025-12-12 20:47:08.058815,Right,-1094.3591901396867,-1188.5742852325784,-1195.4448625430232,-1134.9447015508777,-874.5374829941429,-913.4005184416892,-1097.5446598366834,-1261.5781269224826
2025-12-12 20:47:08.062835,Right,-1515.6173390608747,-1648.2138486199547,-1662.065839181072,-1572.3531006446574,-1245.9186810572864,-1265.35230329365,-1521.5270633420441,-1751.7890133251203
2025-12-12 20:47:08.066843,Right,-1320.1004300508648,-1432.8282512552105,-1443.3096183062298,-1368.07559559145,-1101.3634141508956,-1098.9443347804481,-1320.1106570250122,-1526.1655049121473
2025-12-12 20:47:08.070860,Right,-711.9773703062674,-766.6947904203553,-767.7455143489642,-734.9624144257978,-570.0338117078063,-592.3273932841257,-704.978796568932,-816.2425849770661
2025-12-12 20:47:08.073867,Right,-412.97710672940593,-438.80865986901335,-435.49577123473864,-422.6181739360327,-291.7903674346744,-345.33720593177713,-402.19506798218936,-462.5440208124928
2025-12-12 20:47:08.078879,Right,-659.3689757920802,-708.4170220847009,-709.5166682603303,-676.7632666031132,-513.5966737892595,-547.7895007911138,-646.9042476121103,-748.7745486004278
2025-12-12 20:47:08.082888,Right,-957.2398373615579,-1036.5988554831129,-1044.0334543472854,-985.6602990892716,-792.7507429098478,-790.135995916382,-944.6693856544443,-1102.3104886645451
2025-12-12 20:47:08.086918,Right,-810.0035149013856,-878.3394323664252,-885.7134512740886,-833.945582966262,-658.3980506155058,-666.1515109451138,-797.6701232242049,-935.7442536258604
